path,pair,json_path,candidate_type,row_count,columns,experiment_ready,missing_for_baseline_backtest,ecm_history_ready,missing_for_ecm_backtest,two_leg_execution_ready,missing_for_two_leg_backtest,hedge_ratio_available,beta_available,funding_columns_available,execution_assumption_notes
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_1_5mins_dydx_long_history_derived_history.json,BTC-USD-APT-USD,$.history,list_of_records,24,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,False,funding_cost_model_default
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_BNB_USD_LINK_USD_5mins_dydx_candles_derived_history.json,BNB-USD-LINK-USD,$.history,list_of_records,91,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_aave_uni_5mins_dydx_candles_derived_history.json,AAVE-USD-UNI-USD,$.history,list_of_records,1000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_aave_uni_5mins_dydx_long_history_derived_history.json,AAVE-USD-UNI-USD,$.history,list_of_records,1000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,False,funding_cost_model_default
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_arb_op_5mins_dydx_candles_derived_history.json,ARB-USD-OP-USD,$.history,list_of_records,1000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_arb_op_5mins_dydx_long_history_derived_history.json,ARB-USD-OP-USD,$.history,list_of_records,1000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,False,funding_cost_model_default
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_bnb_link_5mins_dydx_long_history_derived_history.json,BNB-USD-LINK-USD,$.history,list_of_records,12000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,False,funding_cost_model_default
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_algo_5mins_dydx_candles_derived_history.json,BTC-USD-ALGO-USD,$.history,list_of_records,200,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_apt_5mins_dydx_candles_derived_history.json,BTC-USD-APT-USD,$.history,list_of_records,200,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_apt_5mins_dydx_long_history_derived_history.json,BTC-USD-ALGO-USD,$.history,list_of_records,400,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,False,funding_cost_model_default
